File,Title Length,Title Status,Description Length,Desc Status,Current Title,Current Description,Suggested Title Fix,Suggested Description Fix
"12-month-neet-dropper-study-plan-complete-guide.mdx",54,TOO SHORT,156,OK,"12-Month NEET Dropper Study Plan 2026 | Complete Guide","Detailed 12-month study plan for NEET droppers. Month-wise targets; daily schedule; subject distribution; and mock test strategy for guaranteed improvement.","Add 1 chars - expand with year/details",""
"5-month-neet-2026-study-plan-january-may.mdx",62,TOO LONG,140,TOO SHORT,"5-Month NEET 2026 Study Plan (Jan-May) | Score 340+ in Biology","Complete 5-month NEET 2026 study plan (Jan-May). Daily schedules; mock test strategy; revision cycles. Used by 247 AIIMS selections in 2024.","Remove 2 chars - shorten descriptions/remove pipes","Add 15 chars - add details/examples/year"
"affordable-mbbs-maharashtra-under-50-lakhs.mdx",57,OK,170,TOO LONG,"Affordable MBBS Maharashtra 2026: Under Rs 50 Lakhs Total","Complete guide to affordable medical colleges in Maharashtra under Rs 50 Lakhs total cost. Terna (Rs 37.5L); SMBT (Rs 40L) & 15+ NMC approved options with honest reviews.","","Remove 10 chars - condense/remove redundancy"
"affordable-mbbs-under-50-lakhs-india-2026.mdx",54,TOO SHORT,172,TOO LONG,"Affordable MBBS Under ₹50 Lakhs 2026 | Budget Colleges","Complete list of affordable private MBBS colleges under ₹50 Lakhs total cost. NMC approved; fee breakdown; hidden costs; loan options for budget-friendly medical education.","Add 1 chars - expand with year/details","Remove 12 chars - condense/remove redundancy"
"aiims-new-delhi-complete-guide-campus-life.mdx",56,OK,149,TOO SHORT,"AIIMS Delhi Complete Guide 2026 | Campus; Career & USMLE","Complete guide to AIIMS New Delhi - campus life; hostel facilities; USMLE trends; career prospects; alumni success & life after graduating from India","","Add 6 chars - add details/examples/year"
"all-aiims-india-complete-guide-2026.mdx",67,TOO LONG,147,TOO SHORT,"All AIIMS in India 2026 - Complete Guide | Seats; Cutoffs; Rankings","Complete guide to all 25 AIIMS institutes in India for 2026. MBBS seats; NEET cutoffs; fees; NIRF rankings; facilities; pros & cons for each AIIMS.","Remove 7 chars - shorten descriptions/remove pipes","Add 8 chars - add details/examples/year"
"allen-vs-aakash-vs-pw-comparison-2026.mdx",65,TOO LONG,161,TOO LONG,"Allen vs Aakash vs PW 2026 - Why Mass Coaching Fails NEET Biology","Allen; Aakash; Physics Wallah comparison 2026. Why factory-model coaching fails Biology students. Cerebrum offers AIIMS faculty; 30-student batches; 98% success.","Remove 5 chars - shorten descriptions/remove pipes","Remove 1 chars - condense/remove redundancy"
"best-ai-tools-apps-neet-preparation-2026.mdx",72,TOO LONG,154,TOO SHORT,"Best AI Tools & Apps for NEET 2026 Preparation: Complete Digital Toolkit","Discover the best AI tools and apps for NEET 2026 preparation. From doubt-solving AI to spaced repetition apps — build the ultimate digital study toolkit.","Remove 12 chars - shorten descriptions/remove pipes","Add 1 chars - add details/examples/year"
"best-books-for-neet-2026-biology-physics-chemistry.mdx",68,TOO LONG,143,TOO SHORT,"Best Books for NEET 2026: Complete Subject-wise Book List by Toppers","Discover the best books for NEET 2026 preparation. Expert-recommended Biology; Physics; and Chemistry books used by NEET toppers to score 650+.","Remove 8 chars - shorten descriptions/remove pipes","Add 12 chars - add details/examples/year"
"best-neet-coaching-delhi-ncr-2026-comparison.mdx",59,OK,164,TOO LONG,"Best NEET Coaching in Delhi NCR 2026 — Top Centers Compared","Find the best NEET coaching in Delhi NCR. Compare top centers; faculty quality; batch sizes; results; fees; and make an informed decision for your NEET preparation.","","Remove 4 chars - condense/remove redundancy"
"best-neet-coaching-delhi-ncr-comparison.mdx",50,TOO SHORT,154,TOO SHORT,"Best NEET Coaching Delhi NCR 2026 | Fees & Results","Find the best NEET coaching in Delhi; Noida; Gurugram; Faridabad. Compare fees; batch size; faculty; and results of top coaching institutes for NEET 2026.","Add 5 chars - expand with year/details","Add 1 chars - add details/examples/year"
"best-private-medical-colleges-maharashtra-2026.mdx",58,OK,145,TOO SHORT,"Private Medical Colleges Maharashtra 2026 | Fees & Cutoffs","Complete guide to top private MBBS colleges in Maharashtra with NEET 2025 cutoffs; fees (Rs 7-35L/year); DMER counselling; and admission process.","","Add 10 chars - add details/examples/year"
"biology-diagram-practice-neet.mdx",60,OK,194,TOO LONG,"50 Must-Know Biology Diagrams for NEET 2026 | Complete Guide","Master the 50 most important biology diagrams for NEET 2026. Learn diagram identification; drawing techniques; labeling strategies & test-taking patterns used by top scorers to gain 75-90 marks.","","Remove 34 chars - condense/remove redundancy"
"biology-mnemonics-neet-preparation.mdx",52,TOO SHORT,176,TOO LONG,"Biology Mnemonics for NEET 2026 - 100+ Memory Tricks","Master 100+ proven biology mnemonics for NEET 2026. Learn creative memory tricks for taxonomy; physiology; genetics & ecology. Increase retention by 60% with tested strategies.","Add 3 chars - expand with year/details","Remove 16 chars - condense/remove redundancy"
"biomolecules-neet-biology-complete-guide.mdx",53,TOO SHORT,171,TOO LONG,"Biomolecules NEET 2026 Notes | Complete Chapter Guide","Complete NEET Biology notes on Biomolecules. Master carbohydrates; proteins; lipids; nucleic acids and enzymes with structures; functions; diagrams and PYQs for NEET 2026.","Add 2 chars - expand with year/details","Remove 11 chars - condense/remove redundancy"
"biotechnology-neet-simplified-complete-guide.mdx",72,TOO LONG,187,TOO LONG,"Biotechnology NEET Guide: Simplified PCR; Cloning; Bt Cotton | 16+ Marks","Complete Biotechnology guide for NEET 2026 simplified: Recombinant DNA technology; PCR steps; restriction enzymes; vectors; Bt cotton; insulin production; gene therapy. Score 16-24 marks.","Remove 12 chars - shorten descriptions/remove pipes","Remove 27 chars - condense/remove redundancy"
"body-fluids-circulation-neet.mdx",55,OK,171,TOO LONG,"Body Fluids & Circulation NEET 2026 | Heart; Blood; ECG","Complete NEET Biology notes on Body Fluids and Circulation. Learn blood composition; heart anatomy; cardiac cycle; ECG interpretation with diagrams and PYQs for NEET 2026.","","Remove 11 chars - condense/remove redundancy"
"breathing-gas-exchange-neet-notes.mdx",51,TOO SHORT,166,TOO LONG,"Breathing & Gas Exchange NEET 2026 | Complete Guide","Complete NEET Biology notes on Breathing and Exchange of Gases. Learn respiratory system; gas transport; oxygen-hemoglobin curve with diagrams and PYQs for NEET 2026.","Add 4 chars - expand with year/details","Remove 6 chars - condense/remove redundancy"
"career-options-after-12th-pcb-complete-guide.mdx",56,OK,175,TOO LONG,"Career Options After 12th PCB 2026 | Entrance Exam Guide","50+ career options for PCB students beyond MBBS. Complete entrance exam guide with exam dates; syllabus; cutoffs for NEET; CUET; ICAR AIEEA; IIT JAM; BITSAT and more for 2026.","","Remove 15 chars - condense/remove redundancy"
"cbse-biology-board-exam-preparation-2026.mdx",91,TOO LONG,207,TOO LONG,"CBSE Biology Board Exam 2026 — Chapter-Wise Weightage; Tips to Score 95+ | Cerebrum Academy","Complete CBSE Class 12 Biology board exam 2026 preparation guide. Chapter-wise marks distribution; diagram practice tips; NCERT mastery strategy; and how to score 95+ while preparing for NEET simultaneously.","Remove 31 chars - shorten descriptions/remove pipes","Remove 47 chars - condense/remove redundancy"
"cell-division-mitosis-meiosis-neet.mdx",75,TOO LONG,144,TOO SHORT,"Cell Division NEET Notes 2026 | Mitosis; Meiosis; Cell Cycle Complete Guide","Comprehensive NEET Biology notes on Cell Division. Learn cell cycle phases; mitosis stages; meiosis I & II with diagrams; differences; and PYQs.","Remove 15 chars - shorten descriptions/remove pipes","Add 11 chars - add details/examples/year"
"cell-structure-function-neet-notes.mdx",73,TOO LONG,151,TOO SHORT,"Cell Structure and Function NEET Notes 2026 | Complete Cell Biology Guide","Comprehensive NEET Biology notes on Cell Structure and Function. Learn cell theory; organelles; prokaryotic vs eukaryotic cells with diagrams and PYQs.","Remove 13 chars - shorten descriptions/remove pipes","Add 4 chars - add details/examples/year"
"class-11-biology-neet-complete-foundation.mdx",0,,0,,"MISSING","MISSING","",""
"class-11-biology-neet-foundation-guide.mdx",36,TOO SHORT,157,OK,"Class 11 Biology Foundation for NEET","Complete guide to mastering Class 11 Biology for NEET with chapter breakdown; study strategy; and connection to Class 12 topics. Build your foundation early.","Add 19 chars - expand with year/details",""
